,CPI,CREDIT,CREDIT_GDP,GDP,HOUSE,IR
2014Q2,0.37554001,0.013498437,0.87676372,0.000735281,-0.010951596,-0.001510465
2014Q3,0.477712914,0.016193406,1.654883015,-0.001956553,-0.027468425,-0.566825641
2014Q4,0.212142502,0.005793669,-0.318547641,0.000553693,-0.034739163,0.010897601
2015Q1,-0.088519475,0.000670699,-0.731077834,-0.005057464,-0.030731926,0.495519916
2015Q2,-0.106563705,0.004200792,1.129941941,-0.015652488,-0.068639292,1.066871485
2015Q3,-0.077976488,0.002360018,1.777618116,-0.014509943,-0.030342865,-1.086939163
2015Q4,-0.232799493,0.00151911,3.024350906,-0.01906601,-0.026339918,-0.788825922
2016Q1,-0.401370614,0.006927663,5.881429515,-0.025864809,-0.022325159,-1.086042281
2016Q2,0.36833868,0.013981691,8.35825293,-0.0291576,0.017345673,-0.879425463
2016Q3,0.000843221,0.005548124,6.960544243,-0.025147809,0.011005676,-0.838000223
2016Q4,-0.07411927,-0.001522423,5.588802637,-0.02314589,0.016064836,-0.520459847
2017Q1,-0.250393658,-0.002701264,4.939176957,-0.014450886,0.00630425,-0.342951322
2017Q2,-0.653269917,0.008351644,6.104323044,-0.000252884,0.000909499,0.264593928
2017Q3,-0.374482976,0.005498866,4.173809755,-0.000530918,-0.010200965,0.407234272
2017Q4,-0.533641203,0.004881185,2.733390745,0.001788984,-0.014153491,0.492118141
2018Q1,-0.535155902,-0.000952705,0.266211037,0.009558339,-0.008300596,0.559187976
2018Q2,-0.75831207,0.002413395,-0.346292713,0.026304192,-0.001273154,0.296377162
2018Q3,-0.721176959,-0.003216178,-3.022850234,0.021296559,0.012916108,0.590659483
2018Q4,-0.281996168,-0.010301341,-5.581974821,0.017061298,0.012855025,-0.11989966
2019Q1,-0.812964314,-0.019699255,-8.340290486,0.023057043,0.023759431,0.143161586
2019Q2,-0.692302988,-0.00754048,-5.410932508,0.02754009,-0.004903461,0.116383736
2019Q3,-0.063180048,-0.011591543,-6.601823485,0.016766238,0.016954302,-0.129472741
2019Q4,0.569909891,-0.015299845,-7.117504181,0.006282743,0.012639319,0.101330746
